,clus,pr,ha,la
0,1.0,423900000,900,5100
1,1.0,423900000,870,5100
2,1.0,423900000,870,5200
3,1.0,423900000,870,5200
4,1.0,423900000,870,5100
5,1.0,423900000,900,5100
6,1.0,423900000,870,5100
7,1.0,423900000,870,5100
8,1.0,423900000,870,5100
9,999.0,163040000,489,2500
10,995.0,182600000,489,2500
11,996.0,201320000,475,2500
12,996.0,201320000,475,2500
13,996.0,201320000,475,2500
14,997.0,163040000,500,2500
15,997.0,163040000,500,2500
16,997.0,163040000,500,2500
17,998.0,182600000,500,2700
18,999.0,163040000,489,2500
19,999.0,182600000,489,2500
20,999.0,182600000,489,2500
21,999.0,182600000,489,2500
22,999.0,182600000,489,2500
23,999.0,178950000,489,2500
24,999.0,178950000,489,2500
25,999.0,178950000,489,2500
26,999.0,182600000,489,2500
27,2.0,163040000,474,2600
28,2.0,163040000,474,2500
29,2.0,163040000,474,2500
30,2.0,163040000,474,2600
31,2.0,163040000,474,2500
32,2.0,163040000,474,2600
33,2.0,163040000,474,2500
34,2.0,163040000,474,2600
35,2.0,163040000,474,2500
36,2.0,163040000,474,2600
37,2.0,163040000,474,2600
38,2.0,163040000,474,2600
39,2.0,163040000,476,2500
40,2.0,163040000,474,2600
41,2.0,163040000,474,2500
42,4.0,194340000,404,2000
43,4.0,194340000,404,2000
44,7.0,179000000,400,2200
45,7.0,179000000,410,2200
46,7.0,179000000,410,2200
47,7.0,179000000,410,2200
48,3.0,190450000,404,2000
49,3.0,190450000,404,2000
50,3.0,194340000,404,2100
51,3.0,194340000,404,2000
52,3.0,194340000,404,2000
53,3.0,194340000,404,2000
54,3.0,194340000,404,2000
55,3.0,190450000,404,2000
56,993.0,241300000,500,2200
57,994.0,228250000,460,2200
58,994.0,228250000,460,2200
59,994.0,228250000,460,2200
60,998.0,273910000,504,2400
61,998.0,241300000,504,2400
62,5.0,150000000,550,3800
63,5.0,150000000,570,3900
64,5.0,150000000,570,3900
65,5.0,150000000,570,3900
66,5.0,150000000,570,3900
67,5.0,150000000,570,3900
68,5.0,150000000,570,3800
69,5.0,150000000,570,3800
70,5.0,150000000,570,3900
71,5.0,150000000,570,3900
72,5.0,150000000,570,3900
73,5.0,150000000,550,3800
74,5.0,150000000,570,3900
75,992.0,127170000,680,2800
76,992.0,127170000,680,2800
77,992.0,127170000,680,2800
78,992.0,127170000,680,2800
79,992.0,127170000,680,2800
80,992.0,127170000,680,2800
81,992.0,127170000,680,2800
82,992.0,127170000,680,2800
83,992.0,130430000,700,2800
84,992.0,127170000,680,2800
85,6.0,143470000,667,2600
86,6.0,120000000,650,2700
87,6.0,143470000,667,2600
88,6.0,120000000,667,2600
89,6.0,143470000,667,2600
90,6.0,143470000,667,2600
91,6.0,143470000,667,2600
92,6.0,138690000,640,2700
93,6.0,143470000,667,2600
94,6.0,120000000,650,2700
95,6.0,140600000,667,2600
96,6.0,140600000,667,2600
97,6.0,143470000,667,2600
98,6.0,143470000,667,2600
99,6.0,140600000,667,2600
100,7.0,179000000,845,2300
101,7.0,179000000,800,2200
102,7.0,179000000,800,2200
103,7.0,179000000,800,2200
104,7.0,179000000,800,2200
105,7.0,165000000,800,2200
106,7.0,149000000,800,2200
107,7.0,165000000,800,2200
108,7.0,179000000,800,2200
109,7.0,179000000,800,2200
110,7.0,149000000,800,2200
111,7.0,179000000,800,2200
112,7.0,179000000,800,2200
113,7.0,179000000,800,2200
114,8.0,75000000,547,2000
115,989.0,75000000,500,2100
116,989.0,75000000,515,2000
117,990.0,69060000,503,2200
118,991.0,69000000,542,2200
119,991.0,69000000,542,2200
120,8.0,75000000,547,2000
121,8.0,73500000,547,2000
122,8.0,75000000,547,2000
123,8.0,75000000,547,2000
124,8.0,75000000,547,2000
125,8.0,75000000,547,2000
126,8.0,75000000,547,2000
127,8.0,75000000,547,2000
128,8.0,73500000,547,2000
129,8.0,73500000,547,2000
130,8.0,75000000,547,2000
131,8.0,82000000,547,2000
132,8.0,75000000,547,2000
133,8.0,75000000,547,2000
134,10.0,234780000,506,2800
135,10.0,234780000,506,2800
136,10.0,234780000,506,2800
137,10.0,234780000,506,2800
138,10.0,234780000,506,2700
139,9.0,293470000,515,2600
140,9.0,293470000,515,2600
141,9.0,293470000,515,2600
142,10.0,228250000,506,2900
143,10.0,234780000,506,2900
144,10.0,234780000,506,2900
145,10.0,215210000,505,2900
146,10.0,234780000,506,2900
147,10.0,234780000,506,2900
148,10.0,208690000,505,2900
149,10.0,234780000,500,2900
150,10.0,234780000,506,2900
151,10.0,234780000,506,2900
152,10.0,234780000,506,2900
153,10.0,234780000,506,2900
154,10.0,234780000,506,2900
155,987.0,130430000,600,2200
156,988.0,143470000,600,2300
157,988.0,143470000,600,2200
158,988.0,142490000,600,2200
159,988.0,143470000,600,2200
160,988.0,143470000,600,2200
161,988.0,143470000,600,2200
162,988.0,143470000,600,2200
163,988.0,143470000,600,2200
164,988.0,143470000,600,2300
165,11.0,130000000,646,2400
166,11.0,130000000,646,2400
167,11.0,127400000,646,2400
168,11.0,130000000,646,2400
169,11.0,130000000,646,2400
170,11.0,130000000,646,2400
171,11.0,127400000,646,2400
172,11.0,130000000,646,2400
173,11.0,130000000,646,2400
174,11.0,130000000,646,2400
175,11.0,127400000,646,2400
176,11.0,130000000,646,2400
178,12.0,62900000,550,1500
180,13.0,228250000,702,4800
181,13.0,195650000,702,4800
182,13.0,195650000,702,4800
183,13.0,195650000,702,4800
184,13.0,195650000,702,4800
185,13.0,195650000,702,4800
186,13.0,195650000,702,4800
187,13.0,195650000,702,4800
188,13.0,228250000,702,4800
189,13.0,189120000,702,4800
190,13.0,195650000,702,4800
191,984.0,150000000,500,2200
192,985.0,147000000,500,2200
193,986.0,182600000,520,2200
194,986.0,178950000,520,2200
195,986.0,178950000,520,2200
196,986.0,178950000,520,2200
197,986.0,182600000,520,2200
198,986.0,182600000,520,2200
199,986.0,182600000,520,2200
200,986.0,182600000,520,2200
201,986.0,182600000,520,2200
202,986.0,182600000,520,2200
203,14.0,180000000,490,2000
204,14.0,180000000,490,2000
205,14.0,180000000,490,2000
206,14.0,180000000,520,2000
207,14.0,180000000,520,2000
208,14.0,180000000,520,2000
209,14.0,180000000,490,2000
210,14.0,180000000,490,2000
211,14.0,180000000,490,2000
212,14.0,180000000,520,2000
213,986.0,182600000,680,2200
214,986.0,182600000,680,2200
215,986.0,182600000,680,2200
216,986.0,182600000,680,2200
217,15.0,154000000,700,2300
218,15.0,154000000,700,2300
219,15.0,154000000,700,2300
220,16.0,180000000,800,4300
221,16.0,215000000,773,4000
222,16.0,215000000,773,4000
223,16.0,215000000,773,4000
224,16.0,215000000,773,4000
225,16.0,180000000,773,4000
226,16.0,215000000,773,4000
227,16.0,215000000,773,4000
228,16.0,215000000,800,4000
230,17.0,515210000,1328,4900
231,18.0,146730000,695,3500
232,18.0,146730000,695,3500
233,18.0,146730000,695,3500
234,18.0,146730000,695,3500
235,18.0,143470000,680,3500
236,18.0,143470000,700,3500
237,18.0,146730000,695,3500
238,18.0,146730000,695,3500
239,18.0,136950000,680,3500
240,18.0,146730000,695,3500
241,18.0,146730000,695,3500
242,983.0,143470000,574,2600
243,983.0,143470000,574,2600
244,19.0,120000000,580,2800
245,19.0,120000000,600,2800
246,19.0,135000000,573,2800
247,19.0,136950000,560,2800
248,19.0,120000000,570,2800
249,19.0,120000000,600,2800
250,19.0,135000000,573,2800
251,19.0,135000000,573,2800
252,981.0,130430000,441,2800
253,982.0,118000000,480,2900
254,982.0,118000000,450,2800
255,982.0,118000000,450,2800
256,982.0,118000000,450,2800
257,20.0,130430000,441,2700
258,20.0,127820000,440,2800
259,20.0,130430000,441,2800
260,20.0,130430000,441,2800
261,20.0,130430000,440,2800
262,20.0,130430000,441,2800
263,20.0,130430000,440,2800
264,20.0,127820000,440,2800
265,20.0,130430000,440,2800
266,20.0,130430000,441,2700
267,20.0,130430000,440,2800
268,20.0,130430000,441,2800
269,20.0,130430000,440,2800
270,20.0,130430000,441,2800
271,20.0,130430000,441,2800
272,20.0,130430000,441,2800
273,20.0,130430000,440,2800
274,20.0,130430000,440,2800
275,20.0,130430000,440,2800
276,20.0,127820000,440,2800
277,979.0,100000000,788,2000
278,979.0,100000000,788,2000
279,979.0,100000000,788,2000
280,980.0,97170000,759,2100
281,980.0,97170000,759,2100
282,980.0,97170000,759,2100
283,21.0,104080000,800,2200
284,21.0,97820000,800,2200
285,21.0,104080000,800,2200
286,21.0,104080000,800,2200
287,21.0,104080000,800,2200
288,21.0,104080000,800,2200
289,21.0,104080000,800,2200
290,21.0,104080000,800,2200
291,21.0,101080000,800,2200
292,21.0,101080000,800,2200
293,978.0,94000000,522,2700
294,22.0,117390000,520,2800
295,22.0,95000000,488,2900
296,22.0,95000000,488,2900
297,22.0,95000000,488,2900
298,22.0,95000000,488,2900
299,22.0,117390000,488,2800
300,22.0,95000000,488,2900
301,22.0,117390000,488,2900
302,22.0,95000000,488,2900
303,22.0,95000000,488,2900
304,22.0,95000000,488,2800
305,22.0,95000000,488,2900
306,973.0,70000000,485,2400
307,974.0,70000000,487,2500
308,974.0,70000000,487,2500
309,975.0,79800000,460,2500
310,975.0,78200000,460,2500
311,975.0,79800000,460,2400
312,975.0,79800000,460,2500
313,975.0,78200000,460,2500
314,975.0,78200000,460,2500
315,975.0,79800000,460,2500
316,975.0,79800000,460,2500
317,976.0,70000000,485,2300
318,976.0,79800000,460,2500
319,976.0,79800000,460,2500
320,976.0,79800000,460,2500
321,976.0,79800000,460,2500
322,976.0,79800000,460,2500
323,976.0,79800000,460,2500
324,977.0,71080000,450,2500
325,977.0,71080000,450,2500
326,977.0,71080000,450,2500
327,999.0,78260000,489,2400
328,23.0,70000000,485,2300
329,23.0,70000000,485,2300
330,23.0,70000000,485,2300
331,23.0,70000000,485,2300
332,23.0,70000000,485,2300
333,23.0,70000000,485,2300
334,23.0,70000000,485,2300
335,23.0,70000000,485,2300
336,23.0,70000000,485,2400
337,23.0,70000000,485,2300
338,23.0,70000000,485,2300
339,23.0,70000000,485,2300
340,23.0,70000000,485,2300
341,23.0,70000000,485,2300
342,23.0,70000000,485,2300
343,23.0,70000000,485,2300
344,24.0,73000000,550,3000
345,24.0,70000000,600,3000
346,24.0,70000000,600,3000
347,25.0,150000000,868,3500
348,25.0,150000000,868,3500
349,25.0,150000000,868,3500
350,25.0,150000000,868,3500
351,25.0,150000000,868,3500
352,25.0,150000000,898,3400
353,25.0,150000000,868,3500
354,25.0,150000000,868,3500
355,25.0,150000000,868,3500
356,25.0,150000000,868,3500
357,25.0,150000000,868,3500
358,25.0,150000000,868,3500
359,25.0,150000000,868,3400
